id,question,answer,text,processed_text,sub_topic
39,How will you limit a mysql query to display only top 10 rows?,"We can use LIMIT clause in MySQL to limit a query to a range of rows.
Following query will give top 10 rows from the table with table_name:
SELECT * FROM <table_name> LIMIT 0,10;
Following query will give 6 rows starting from the 4th row in table with table_name:
SELECT * FROM <table_name> LIMIT 3,6;","How will you limit a mysql query to display only top 10 rows?We can use LIMIT clause in MySQL to limit a query to a range of rows.
Following query will give top 10 rows from the table with table_name:
SELECT * FROM <table_name> LIMIT 0,10;
Following query will give 6 rows starting from the 4th row in table with table_name:
SELECT * FROM <table_name> LIMIT 3,6;",limit mysql query display top row ? use limit clause mysql limit query range row . following query give top row table table_name : select fromtable_name > limit ; following query give row starting th row table table_name : select fromtable_name > limit ;,
40,What is automatic initialization and updating for timestamp in a mysql table?,"In MySQL, there is a TIMESTAMP datatype that provides features like automatic initialization and updating to current time and date. If a column is auto-initialized, then it will be set to current timestamp on inserting a new row with no value for the column. If a column is auto-updated, then its value will be updated to current timestamp when the value of any other column in the same row is updated. We can mark a column as DEFAULT to prevent this auto- initialize and auto-update behavior.","What is automatic initialization and updating for timestamp in a mysql table?In MySQL, there is a TIMESTAMP datatype that provides features like automatic initialization and updating to current time and date. If a column is auto-initialized, then it will be set to current timestamp on inserting a new row with no value for the column. If a column is auto-updated, then its value will be updated to current timestamp when the value of any other column in the same row is updated. We can mark a column as DEFAULT to prevent this auto- initialize and auto-update behavior.","automatic initialization updating timestamp mysql table ? mysql , timestamp datatype provides feature like automatic initialization updating current time date . column auto-initialized , set current timestamp inserting new row value column . column auto-updated , value updated current timestamp value column row updated . mark column default prevent auto- initialize auto-update behavior .",
41,How can we get the list of all the indexes on a table?,"We can use following command to get the list of all the indexes on a table in MySQL:
SHOW INDEX FROM table_name; At maximum we can use 16 columns in a multi-column index of table.","How can we get the list of all the indexes on a table?We can use following command to get the list of all the indexes on a table in MySQL:
SHOW INDEX FROM table_name; At maximum we can use 16 columns in a multi-column index of table.",get list index table ? use following command get list index table mysql : show index table_name ; maximum use column multi-column index table .,
42,What is savepoint in mysql?,SAVEPOINT is a statement in SQL. We can use SAVEPOINT <savepoint_name> statement to create a point of time in a Database transaction with a name. Later we can use this savepoint to rollback the transaction upto that point of time.,What is savepoint in mysql?SAVEPOINT is a statement in SQL. We can use SAVEPOINT <savepoint_name> statement to create a point of time in a Database transaction with a name. Later we can use this savepoint to rollback the transaction upto that point of time.,savepoint mysql ? savepoint statement sql . use savepointsavepoint_name > statement create point time database transaction name . later use savepoint rollback transaction upto point time .,
43,What is the difference between rollback to savepoint and release savepoint?,"We use ROLLBACK TO SAVEPOINT statement to undo the effect of a transaction upto the SAVEPOINT mentioned in ROLLBACK statement.
RELEASE SAVEPOINT is simply used to delete the SAVEPOINT with a name from a transaction. There is commit or rollback for SAVEPOINT in RELEASE statement.In both the cases we should have first created a SAVEPOINT. Else we will get the error while doing ROLLBACK or RELEASE of a SAVEPOINT.","What is the difference between rollback to savepoint and release savepoint?We use ROLLBACK TO SAVEPOINT statement to undo the effect of a transaction upto the SAVEPOINT mentioned in ROLLBACK statement.
RELEASE SAVEPOINT is simply used to delete the SAVEPOINT with a name from a transaction. There is commit or rollback for SAVEPOINT in RELEASE statement.In both the cases we should have first created a SAVEPOINT. Else we will get the error while doing ROLLBACK or RELEASE of a SAVEPOINT.",difference rollback savepoint release savepoint ? use rollback savepoint statement undo effect transaction upto savepoint mentioned rollback statement . release savepoint simply used delete savepoint name transaction . commit rollback savepoint release statement.in case first created savepoint . else get error rollback release savepoint .,
44,How will you search for a string in mysql column?,We can use REGEXP operator to search for a String in MySQL column. It is regular expression search on columns with text type value. We can define different types of regular expressions and search them in a text with the REGEXP expression that can match our crietria.,How will you search for a string in mysql column?We can use REGEXP operator to search for a String in MySQL column. It is regular expression search on columns with text type value. We can define different types of regular expressions and search them in a text with the REGEXP expression that can match our crietria.,search string mysql column ? use regexp operator search string mysql column . regular expression search column text type value . define different type regular expression search text regexp expression match crietria .,
45,How can we find the version of the mysql server and the name of the current database by select query?,"We can use built in functions VERSION() and DATABASE() in MySQL to get the version of MySQL server and the name of database in MySQL.
Query is as follows: SELECT	VERSION(), DATABASE();","How can we find the version of the mysql server and the name of the current database by select query?We can use built in functions VERSION() and DATABASE() in MySQL to get the version of MySQL server and the name of database in MySQL.
Query is as follows: SELECT	VERSION(), DATABASE();","find version mysql server name current database select query ? use built function version ( ) database ( ) mysql get version mysql server name database mysql . query follows : select version ( ) , database ( ) ;",
46,What is the use of ifnull operator in mysql?,"We use IFNULL operator in MySQL to get a non-null value for a column with null value.
IFNULL(expr1, expr2)
If expr1 is not null then expr1 is returned. If expr1 is null then expr2 is returned.
Eg.	SELECT	name, IFNULL(id,""Unknown"") AS ""id"" FROM user;
If id is not null then id is returned. If id is null then Unknown is returned.","What is the use of ifnull operator in mysql?We use IFNULL operator in MySQL to get a non-null value for a column with null value.
IFNULL(expr1, expr2)
If expr1 is not null then expr1 is returned. If expr1 is null then expr2 is returned.
Eg.	SELECT	name, IFNULL(id,""Unknown"") AS ""id"" FROM user;
If id is not null then id is returned. If id is null then Unknown is returned.","use ifnull operator mysql ? use ifnull operator mysql get non-null value column null value . ifnull ( expr , expr ) expr null expr returned . expr null expr returned . eg . select name , ifnull ( id , '' unknown '' ) asid '' user ; id null id returned . id null unknown returned .",
47,How will you check if a table exists in mysql?,"We can use CHECK TABLE query to see the existence of a table in MySQL.
Query is as follows: CHECK TABLE <table_name>;","How will you check if a table exists in mysql?We can use CHECK TABLE query to see the existence of a table in MySQL.
Query is as follows: CHECK TABLE <table_name>;",check table exists mysql ? use check table query see existence table mysql . query follows : check tabletable_name > ;,
48,How will you see the structure of a table in mysql?,We can use DESC query to see the structure of a table in MySQL. It will return the name of columns and their datatype in a table. Query is as follows: DESC <table_name>;,How will you see the structure of a table in mysql?We can use DESC query to see the structure of a table in MySQL. It will return the name of columns and their datatype in a table. Query is as follows: DESC <table_name>;,see structure table mysql ? use desc query see structure table mysql . return name column datatype table . query follows : desctable_name > ;,
49,What are the objects that can be created by create statement in mysql?,"We can create following objects by CREATE statement in MySQL:
DATABASE USER TABLE INDEX
VIEW TRIGGER EVENT FUNCTION PROCEDURE","What are the objects that can be created by create statement in mysql?We can create following objects by CREATE statement in MySQL:
DATABASE USER TABLE INDEX
VIEW TRIGGER EVENT FUNCTION PROCEDURE",object created create statement mysql ? create following object create statement mysql : database user table index view trigger event function procedure,
50,How will you see the current user logged into mysql connection?,"We can use USER() command to get the user logged into MySQL connection.
Command is as follows: SELECT USER();
How can you copy the structure of a table into another table without copying the data?
It is a  trick question. But it has practical use in day to day work.
Query for this is as follows: CREATE TABLE table_name AS SELECT * FROM USER WHERE 1 > 2;
In this example condition in WHERE clause will be always false. Due to this no data is retrieved by SELECT query.","How will you see the current user logged into mysql connection?We can use USER() command to get the user logged into MySQL connection.
Command is as follows: SELECT USER();
How can you copy the structure of a table into another table without copying the data?
It is a  trick question. But it has practical use in day to day work.
Query for this is as follows: CREATE TABLE table_name AS SELECT * FROM USER WHERE 1 > 2;
In this example condition in WHERE clause will be always false. Due to this no data is retrieved by SELECT query.",see current user logged mysql connection ? use user ( ) command get user logged mysql connection . command follows : select user ( ) ; copy structure table another table without copying data ? trick question . practical use day day work . query follows : create table table_name select user example condition clause always false . due data retrieved select query .,
51,What is the difference between batch and interactive modes of mysql?,"In Interactive mode, we use command line interface and enter queries one by one. MySQL will execute the query and return the result in command line interface. In Batch mode of MySQL we can write all the queries in a SQL file. Then we can run this SQL file from MySQL command line or from Scheduler Job. MySQL will execute all the queries and return the result.","What is the difference between batch and interactive modes of mysql?In Interactive mode, we use command line interface and enter queries one by one. MySQL will execute the query and return the result in command line interface. In Batch mode of MySQL we can write all the queries in a SQL file. Then we can run this SQL file from MySQL command line or from Scheduler Job. MySQL will execute all the queries and return the result.","difference batch interactive mode mysql ? interactive mode , use command line interface enter query one one . mysql execute query return result command line interface . batch mode mysql write query sql file . run sql file mysql command line scheduler job . mysql execute query return result .",
52,How can we get a random number between 1 and 100 in mysql?,"In MySQL we have a RAND() function that returns a random number between 0 and 1.
SELECT RAND();
If we want to get a random number between 1 and 100, we can use following query:
SELECT RAND() * 100;","How can we get a random number between 1 and 100 in mysql?In MySQL we have a RAND() function that returns a random number between 0 and 1.
SELECT RAND();
If we want to get a random number between 1 and 100, we can use following query:
SELECT RAND() * 100;",get random number mysql ? mysql rand ( ) function return random number select rand ( ) ; want get random number use following query : select rand ( ),
53,What does sql in mysql stand for?,"The SQL in MySQL stands for Structured Query Language. This language is also used in other databases such as Oracle and Microsoft SQL Server.  One can use commands such as the following to send requests from a database:
SELECT title FROM publications WHERE author = "" J. K. Rowling"";
Note that SQL is not case sensitive. However, it is a good practice to write the SQL keywords in CAPS and other names and variables in a small case.","What does sql in mysql stand for?The SQL in MySQL stands for Structured Query Language. This language is also used in other databases such as Oracle and Microsoft SQL Server.  One can use commands such as the following to send requests from a database:
SELECT title FROM publications WHERE author = "" J. K. Rowling"";
Note that SQL is not case sensitive. However, it is a good practice to write the SQL keywords in CAPS and other names and variables in a small case.","sql mysql stand ? sql mysql stand structured query language . language also used database oracle microsoft sql server . one use command following send request database : select title publication author j. k. rowling '' ; note sql case sensitive . however , good practice write sql keywords cap name variable small case .",
54,What does a mysql database contain?,"A MySQL database contains one or more tables, each of which contains records or rows. Within these rows are various columns or fields that contain the data itself.","What does a mysql database contain?A MySQL database contains one or more tables, each of which contains records or rows. Within these rows are various columns or fields that contain the data itself.","mysql database contain ? mysql database contains one table , contains record row . within row various column field contain data .",
55,How can you interact with mysql?,"There are three main ways you can interact with MySQL:
+ using a command line
+ via a web interface
+ through a programming language","How can you interact with mysql?There are three main ways you can interact with MySQL:
+ using a command line
+ via a web interface
+ through a programming language",interact mysql ? three main way interact mysql : + using command line + via web interface + programming language,
56,What is mysql database queries?,A query is a specific request or a question. One can query a database for specific information and have a record returned.,What is mysql database queries?A query is a specific request or a question. One can query a database for specific information and have a record returned.,mysql database query ? query specific request question . one query database specific information record returned .,
57,What are some common mysql commands?,"+ ALTER	To alter a database or table
+ BACKUP	To back-up a table
+ \c	To cancel Input
+ CREATE	To create a database
+ DELETE	To delete a row from a table
+ DESCRIBE	To describe a table""s columns
+ DROP	To delete a database or table
+ EXIT(ctrl+c)	To exit
+ GRANT	To change user privileges
+ HELP (\h, \?)	Display help
+ INSERT	Insert data
+ LOCK	Lock table(s)
+ QUIT(\q)	Same as EXIT
+ RENAME	Rename a Table
+ SHOW	List details about an object
+ SOURCE	Execute a file
+ STATUS (\s)	Display the current status
+ TRUNCATE	Empty a table
+ UNLOCK	Unlock table(s)
+ UPDATE	Update an existing record
+ USE	Use a database","What are some common mysql commands?+ ALTER	To alter a database or table
+ BACKUP	To back-up a table
+ \c	To cancel Input
+ CREATE	To create a database
+ DELETE	To delete a row from a table
+ DESCRIBE	To describe a table""s columns
+ DROP	To delete a database or table
+ EXIT(ctrl+c)	To exit
+ GRANT	To change user privileges
+ HELP (\h, \?)	Display help
+ INSERT	Insert data
+ LOCK	Lock table(s)
+ QUIT(\q)	Same as EXIT
+ RENAME	Rename a Table
+ SHOW	List details about an object
+ SOURCE	Execute a file
+ STATUS (\s)	Display the current status
+ TRUNCATE	Empty a table
+ UNLOCK	Unlock table(s)
+ UPDATE	Update an existing record
+ USE	Use a database","common mysql command ? + alter alter database table + backup back-up table +c cancel input + create create database + delete delete row table + describe describe table '' column + drop delete database table + exit ( ctrl+c ) exit + grant change user privilege + help\h , ? ) display help + insert insert data + lock lock table ( ) + quit ( \q ) exit + rename rename table + show list detail object + source execute file + status\s ) display current status + truncate empty table + unlock unlock table ( ) + update update existing record + use use database",
58,How do you create a database in mysql?,"Use the following command to create a new database called ""books"":
CREATE DATABASE books;","How do you create a database in mysql?Use the following command to create a new database called ""books"":
CREATE DATABASE books;",create database mysql ? use following command create new database calledbooks '' : create database book ;,
59,How do you create a table using mysql?,"Use the following to create a table using MySQL:
CREATE TABLE history (
author VARCHAR(128),
title VARCHAR(128),
type VARCHAR(16),
year CHAR(4)) ENGINE InnoDB;","How do you create a table using mysql?Use the following to create a table using MySQL:
CREATE TABLE history (
author VARCHAR(128),
title VARCHAR(128),
type VARCHAR(16),
year CHAR(4)) ENGINE InnoDB;","create table using mysql ? use following create table using mysql : create table history author varchar ( ) , title varchar ( ) , type varchar ( ) , year char ( ) ) engine innodb ;",
60,How do you insert data into mysql?,"The INSERT INTO statement is used to add new records to a MySQL table:
INSERT INTO table_name (column1, column2, column3,...)
VALUES (value1, value2, value3,...)
If we want to add values for all the columns of the table, we do not need to specify the column names in the SQL query. However, the order of the values should be in the same order as the columns in the table. The INSERT INTO syntax would be as follows:
INSERT INTO table_name
VALUES (value1, value2, value3, ...);","How do you insert data into mysql?The INSERT INTO statement is used to add new records to a MySQL table:
INSERT INTO table_name (column1, column2, column3,...)
VALUES (value1, value2, value3,...)
If we want to add values for all the columns of the table, we do not need to specify the column names in the SQL query. However, the order of the values should be in the same order as the columns in the table. The INSERT INTO syntax would be as follows:
INSERT INTO table_name
VALUES (value1, value2, value3, ...);","insert data mysql ? insert statement used add new record mysql table : insert table_namecolumn , column , column , ... ) valuesvalue , value , value , ... ) want add value column table , need specify column name sql query . however , order value order column table . insert syntax would follows : insert table_name valuesvalue , value , value , .. ) ;",
61,How do you remove a column from a database?,"You can remove a column by using the DROP keyword:
ALTER TABLE classics DROP pages;","How do you remove a column from a database?You can remove a column by using the DROP keyword:
ALTER TABLE classics DROP pages;",remove column database ? remove column using drop keyword : alter table classic drop page ;,
62,How to create an index in mysql?,"In MySQL, there are different index types, such as a regular INDEX, a PRIMARY KEY, or a FULLTEXT index. You can achieve fast searches with the help of an index. Indexes speed up performance by either ordering the data on disk so it""s quicker to find your result or, telling the SQL engine where to go to find your data.
Example: Adding indexes to the history table:
+ ALTER TABLE history ADD INDEX(author(10));
+ ALTER TABLE history ADD INDEX(title(10));
+ ALTER TABLE history ADD INDEX(category(5));
+ ALTER TABLE history ADD INDEX(year);","How to create an index in mysql?In MySQL, there are different index types, such as a regular INDEX, a PRIMARY KEY, or a FULLTEXT index. You can achieve fast searches with the help of an index. Indexes speed up performance by either ordering the data on disk so it""s quicker to find your result or, telling the SQL engine where to go to find your data.
Example: Adding indexes to the history table:
+ ALTER TABLE history ADD INDEX(author(10));
+ ALTER TABLE history ADD INDEX(title(10));
+ ALTER TABLE history ADD INDEX(category(5));
+ ALTER TABLE history ADD INDEX(year);","create index mysql ? mysql , different index type , regular index , primary key , fulltext index . achieve fast search help index . index speed performance either ordering data disk '' quicker find result , telling sql engine go find data . example : adding index history table : + alter table history add index ( author ( ) ) ; + alter table history add index ( title ( ) ) ; + alter table history add index ( category ( ) ) ; + alter table history add index ( year ) ;",
63,How to delete data from a mysql table?,"In MySQL, the DELETE statement is used to delete records from a table:
DELETE FROM table_name
WHERE column_name = value_name","How to delete data from a mysql table?In MySQL, the DELETE statement is used to delete records from a table:
DELETE FROM table_name
WHERE column_name = value_name","delete data mysql table ? mysql , delete statement used delete record table : delete table_name column_name value_name",
64,How do you view a database in mysql?,"One can view all the databases on the MySQL server host using the following command:
mysql> SHOW DATABASES;","How do you view a database in mysql?One can view all the databases on the MySQL server host using the following command:
mysql> SHOW DATABASES;",view database mysql ? one view database mysql server host using following command : mysql > show database ;,
65,What are the numeric data types in mysql?,"MySQL has numeric data types for integer, fixed-point, floating-point, and bit values, as shown in the table below. Numeric types can be signed or unsigned, except BIT. A special attribute enables the automatic generation of sequential integer or floating-point column values, which is useful for applications that require a series of unique identification numbers.

+ TINYINT	Very Small Integer
+ SMALLINT	Small Integer
+ MEDIUMINT	Medium-sized Integer
+ INT	Standard Integer
+ BIGINT	Large Integer
+ DECIMAL	Fixed-point number
+ FLOAT	Single-precision floating-point number
+ DOUBLE	Double-precision floating-point number
+ BIT	Bit-field","What are the numeric data types in mysql?MySQL has numeric data types for integer, fixed-point, floating-point, and bit values, as shown in the table below. Numeric types can be signed or unsigned, except BIT. A special attribute enables the automatic generation of sequential integer or floating-point column values, which is useful for applications that require a series of unique identification numbers.

+ TINYINT	Very Small Integer
+ SMALLINT	Small Integer
+ MEDIUMINT	Medium-sized Integer
+ INT	Standard Integer
+ BIGINT	Large Integer
+ DECIMAL	Fixed-point number
+ FLOAT	Single-precision floating-point number
+ DOUBLE	Double-precision floating-point number
+ BIT	Bit-field","numeric data type mysql ? mysql numeric data type integer , fixed-point , floating-point , bit value , shown table . numeric type signed unsigned , except bit . special attribute enables automatic generation sequential integer floating-point column value , useful application require series unique identification number . + tinyint small integer + smallint small integer + mediumint medium-sized integer + int standard integer + bigint large integer + decimal fixed-point number + float single-precision floating-point number + double double-precision floating-point number + bit bit-field",
66,What are the string data types in mysql?,"+ CHAR - fixed-length nonbinary(character) string
+ VARCHAR	variable-length nonbinary string
+ BINARY	fixed-length binary string
+ VARBINARY	variable-length binary string
+ TINYBLOB	Very small BLOB(binary large object)
+ BLOB	Small BLOB
+ MEDIUMBLOB	Medium-sized BLOB
+ LONGBLOB	Large BLOB
+ TINYTEXT	A very small nonbinary string
+ TEXT	Small nonbinary string
+ MEDIUMTEXT	Medium-sized nonbinary string
+ LONGTEXT	Large nonbinary string
+ ENUM	An enumeration; each column value is assigned, one enumeration member
+ SET	A set; each column value is assigned zero or more set members
+ NULL	NULL in SQL is the term used to represent a missing value. A NULL value in a table is a value in a field that appears to be blank. This value is different than a zero value or a field that contains spaces.","What are the string data types in mysql?+ CHAR - fixed-length nonbinary(character) string
+ VARCHAR	variable-length nonbinary string
+ BINARY	fixed-length binary string
+ VARBINARY	variable-length binary string
+ TINYBLOB	Very small BLOB(binary large object)
+ BLOB	Small BLOB
+ MEDIUMBLOB	Medium-sized BLOB
+ LONGBLOB	Large BLOB
+ TINYTEXT	A very small nonbinary string
+ TEXT	Small nonbinary string
+ MEDIUMTEXT	Medium-sized nonbinary string
+ LONGTEXT	Large nonbinary string
+ ENUM	An enumeration; each column value is assigned, one enumeration member
+ SET	A set; each column value is assigned zero or more set members
+ NULL	NULL in SQL is the term used to represent a missing value. A NULL value in a table is a value in a field that appears to be blank. This value is different than a zero value or a field that contains spaces.","string data type mysql ? + char fixed-length nonbinary ( character ) string + varchar variable-length nonbinary string + binary fixed-length binary string + varbinary variable-length binary string + tinyblob small blob ( binary large object ) + blob small blob + mediumblob medium-sized blob + longblob large blob + tinytext small nonbinary string + text small nonbinary string + mediumtext medium-sized nonbinary string + longtext large nonbinary string + enum enumeration ; column value assigned , one enumeration member + set set ; column value assigned zero set member + null null sql term used represent missing value . null value table value field appears blank . value different zero value field contains space .",
67,What are the temporal data types in mysql?,"+ DATE	A date value, in "" CCYY-MM-DD "" Format
+ TIME	A Time value, in "" hh : mm :ss "" format
+ DATETIME	Date and time value, in "" CCYY-MM-DD hh : mm :ss "" format
+ TIMESTAMP	A timestamp value, in "" CCYY-MM-DD hh : mm :ss "" format
+ YEAR	A year value, in CCYY or YY format
Example: To select the records with an Order Date of ""2018-11-11"" from a table:
SELECT * FROM Orders WHERE OrderDate=""2018-11-11""","What are the temporal data types in mysql?+ DATE	A date value, in "" CCYY-MM-DD "" Format
+ TIME	A Time value, in "" hh : mm :ss "" format
+ DATETIME	Date and time value, in "" CCYY-MM-DD hh : mm :ss "" format
+ TIMESTAMP	A timestamp value, in "" CCYY-MM-DD hh : mm :ss "" format
+ YEAR	A year value, in CCYY or YY format
Example: To select the records with an Order Date of ""2018-11-11"" from a table:
SELECT * FROM Orders WHERE OrderDate=""2018-11-11""","temporal data type mysql ? + date date value , ccyy-mm-dd format + time time value , hh mmss format + datetime date time value , ccyy-mm-dd hh mmss format + timestamp timestamp value , ccyy-mm-dd hh mmss format + year year value , ccyy yy format example : select record order date -- '' table : select order orderdate= '' -- ''",
68,What is blob in mysql?,"BLOB is an acronym that stands for a binary large object. It is used to hold a variable amount of data.
There are four types of BLOB:
+ TINYBLOB
+ BLOB
+ MEDIUMBLOB
+ LONGBLOB
A BLOB can hold a very large amount of data. For example - documents, images, and even videos. You could store your complete novel as a file in a BLOB if needed.","What is blob in mysql?BLOB is an acronym that stands for a binary large object. It is used to hold a variable amount of data.
There are four types of BLOB:
+ TINYBLOB
+ BLOB
+ MEDIUMBLOB
+ LONGBLOB
A BLOB can hold a very large amount of data. For example - documents, images, and even videos. You could store your complete novel as a file in a BLOB if needed.","blob mysql ? blob acronym stand binary large object . used hold variable amount data . four type blob : + tinyblob + blob + mediumblob + longblob blob hold large amount data . example document , image , even video . could store complete novel file blob needed .",
69,How to add users in mysql?,"You can add a User by using the CREATE command and specifying the necessary credentials. For example:
CREATE USER ""testuser"" IDENTIFIED BY ""sample password"";","How to add users in mysql?You can add a User by using the CREATE command and specifying the necessary credentials. For example:
CREATE USER ""testuser"" IDENTIFIED BY ""sample password"";",add user mysql ? add user using create command specifying necessary credential . example : create usertestuser '' identified bysample password '' ;,
70,What is mysql views?,"In MySQL, a view consists of a set of rows that is returned if a particular query is executed. This is also known as a ""virtual table"". Views make it easy to retrieve the way of making the query available via an alias.
The advantages of views are:
+ Simplicity
+ Security
+ Maintainability","What is mysql views?In MySQL, a view consists of a set of rows that is returned if a particular query is executed. This is also known as a ""virtual table"". Views make it easy to retrieve the way of making the query available via an alias.
The advantages of views are:
+ Simplicity
+ Security
+ Maintainability","mysql view ? mysql , view consists set row returned particular query executed . also known avirtual table '' . view make easy retrieve way making query available via alias . advantage view : + simplicity + security + maintainability",
71,How do you create and execute views in mysql?,"Creating a view is accomplished with the CREATE VIEW statement. As an example:
CREATE [OR REPLACE] [ALGORITHM = {MERGE | TEMPTABLE | UNDEFINED }] [DEFINER = { user | CURRENT_USER }][SQL SECURITY { DEFINER | INVOKER }] VIEW view_name [(column_list)] AS select_statement [WITH [CASCADED | LOCAL] CHECK OPTION]","How do you create and execute views in mysql?Creating a view is accomplished with the CREATE VIEW statement. As an example:
CREATE [OR REPLACE] [ALGORITHM = {MERGE | TEMPTABLE | UNDEFINED }] [DEFINER = { user | CURRENT_USER }][SQL SECURITY { DEFINER | INVOKER }] VIEW view_name [(column_list)] AS select_statement [WITH [CASCADED | LOCAL] CHECK OPTION]",create execute view mysql ? creating view accomplished create view statement . example : createor replace ] algorithmmerge temptable undefined ] definer user current_user ] [ sql security definer invoker ] view view_name ( column_list ) ] select_statementwithcascaded local ] check option ],
72,What is mysql triggers?,"A trigger is a task that executes in response to some predefined database event, such as after a new row is added to a particular table. Specifically, this event involves inserting, modifying, or deleting table data, and the task can occur either prior to or immediately following any such event.
Triggers have many purposes, including:
+ Audit Trails
+ Validation
+ Referential integrity enforcement","What is mysql triggers?A trigger is a task that executes in response to some predefined database event, such as after a new row is added to a particular table. Specifically, this event involves inserting, modifying, or deleting table data, and the task can occur either prior to or immediately following any such event.
Triggers have many purposes, including:
+ Audit Trails
+ Validation
+ Referential integrity enforcement","mysql trigger ? trigger task executes response predefined database event , new row added particular table . specifically , event involves inserting , modifying , deleting table data , task occur either prior immediately following event . trigger many purpose , including : + audit trail + validation + referential integrity enforcement",
73,How many triggers are possible in mysql?,"There are six Triggers allowed to use in the MySQL database:
+ Before Insert
+ After Insert
+ Before Update
+ After Update
+ Before Delete
+ After Delete","How many triggers are possible in mysql?There are six Triggers allowed to use in the MySQL database:
+ Before Insert
+ After Insert
+ Before Update
+ After Update
+ Before Delete
+ After Delete",many trigger possible mysql ? six trigger allowed use mysql database : + insert + insert + update + update + delete + delete,
74,What is the mysql server?,"The server, mysqld, is the hub of a MySQL installation; it performs all manipulation of databases and tables.","What is the mysql server?The server, mysqld, is the hub of a MySQL installation; it performs all manipulation of databases and tables.","mysql server ? server , mysqld , hub mysql installation ; performs manipulation database table .",
75,What are the mysql clients and utilities?,"Several MySQL programs are available to help you communicate with the server. For administrative tasks, some of the most important ones are listed here:
• mysql—An interactive program that enables you to send SQL statements to the server and to view the results. You can also use mysql to execute batch scripts (text files containing SQL statements).
• mysqladmin—An administrative program for performing tasks such as shutting down the server, checking its configuration, or monitoring its status if it appears not to be functioning properly.
• mysqldump—A tool for backing up your databases or copying databases to another server.
• mysqlcheck and myisamchk—Programs that help you perform table checking, analysis, and optimization, as well as repairs if tables become damaged. mysqlcheck works with MyISAM tables and to some extent with tables for other storage engines. myisamchk is for use only with MyISAM tables.","What are the mysql clients and utilities?Several MySQL programs are available to help you communicate with the server. For administrative tasks, some of the most important ones are listed here:
• mysql—An interactive program that enables you to send SQL statements to the server and to view the results. You can also use mysql to execute batch scripts (text files containing SQL statements).
• mysqladmin—An administrative program for performing tasks such as shutting down the server, checking its configuration, or monitoring its status if it appears not to be functioning properly.
• mysqldump—A tool for backing up your databases or copying databases to another server.
• mysqlcheck and myisamchk—Programs that help you perform table checking, analysis, and optimization, as well as repairs if tables become damaged. mysqlcheck works with MyISAM tables and to some extent with tables for other storage engines. myisamchk is for use only with MyISAM tables.","mysql client utility ? several mysql program available help communicate server . administrative task , important one listed : • mysql—an interactive program enables send sql statement server view result . also use mysql execute batch scriptstext file containing sql statement ) . • mysqladmin—an administrative program performing task shutting server , checking configuration , monitoring status appears functioning properly . • mysqldump—a tool backing database copying database another server . • mysqlcheck myisamchk—programs help perform table checking , analysis , optimization , well repair table become damaged . mysqlcheck work myisam table extent table storage engine . myisamchk use myisam table .",
76,Can you explain the logical architecture of mysql?,"The top layer contains the services most network-based client/server tools or servers need such as connection handling, authentication, security, and so forth.
The second layer contains much of MySQL""s brains. This has the code for query parsing, analysis, optimization, caching, and all the built-in functions.
The third layer contains the storage engines that are responsible for storing and retrieving the data stored in MySQL.","Can you explain the logical architecture of mysql?The top layer contains the services most network-based client/server tools or servers need such as connection handling, authentication, security, and so forth.
The second layer contains much of MySQL""s brains. This has the code for query parsing, analysis, optimization, caching, and all the built-in functions.
The third layer contains the storage engines that are responsible for storing and retrieving the data stored in MySQL.","explain logical architecture mysql ? top layer contains service network-based client/server tool server need connection handling , authentication , security , forth . second layer contains much mysql '' brain . code query parsing , analysis , optimization , caching , built-in function . third layer contains storage engine responsible storing retrieving data stored mysql .",
77,What is scaling in mysql?,"In MySQL, scaling capacity is actually the ability to handle the load, and it""s useful to think of load from several different angles such as:
Quantity of data
Number of users
User activity
Size of related datasets","What is scaling in mysql?In MySQL, scaling capacity is actually the ability to handle the load, and it""s useful to think of load from several different angles such as:
Quantity of data
Number of users
User activity
Size of related datasets","scaling mysql ? mysql , scaling capacity actually ability handle load , '' useful think load several different angle : quantity data number user user activity size related datasets",
78,What is sharding in sql?,"The process of breaking up large tables into smaller chunks (called shards) that are spread across multiple servers is called Sharding.
The advantage of Sharding is that since the sharded database is generally much smaller than the original; queries, maintenance, and all other tasks are much faster.","What is sharding in sql?The process of breaking up large tables into smaller chunks (called shards) that are spread across multiple servers is called Sharding.
The advantage of Sharding is that since the sharded database is generally much smaller than the original; queries, maintenance, and all other tasks are much faster.","sharding sql ? process breaking large table smaller chunkscalled shard ) spread across multiple server called sharding . advantage sharding since sharded database generally much smaller original ; query , maintenance , task much faster .",
79,What are transaction storage engines in mysql?,"To be able to use MySQL""s transaction facility, you have to be using MySQL""s InnoDB storage engine (which is the default from version 5.5 onward). If you are not sure which version of MySQL your code will be running on, rather than assuming InnoDB is the default engine you can force its use when creating a table, as follows.","What are transaction storage engines in mysql?To be able to use MySQL""s transaction facility, you have to be using MySQL""s InnoDB storage engine (which is the default from version 5.5 onward). If you are not sure which version of MySQL your code will be running on, rather than assuming InnoDB is the default engine you can force its use when creating a table, as follows.","transaction storage engine mysql ? able use mysql '' transaction facility , using mysql '' innodb storage enginewhich default version onward ) . sure version mysql code running , rather assuming innodb default engine force use creating table , follows .",
